student_id,datetime,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
S0001,2026-01-28 08:00:00,female,group B,bachelor's degree,standard,none,72,72,74
S0002,2026-01-28 08:00:01,female,group C,some college,standard,completed,69,90,88
S0003,2026-01-28 08:00:02,female,group B,master's degree,standard,none,90,95,93
S0004,2026-01-28 08:00:03,male,group A,associate's degree,free/reduced,none,47,57,44
S0005,2026-01-28 08:00:04,male,group C,some college,standard,none,76,78,75
S0006,2026-01-28 08:00:05,female,group B,associate's degree,standard,none,71,83,78
S0007,2026-01-28 08:00:06,female,group B,some college,standard,completed,88,95,92
S0008,2026-01-28 08:00:07,male,group B,some college,free/reduced,none,40,43,39
S0009,2026-01-28 08:00:08,male,group D,high school,free/reduced,completed,64,64,67
S0010,2026-01-28 08:00:09,female,group B,high school,free/reduced,none,38,60,50
S0011,2026-01-28 08:00:10,male,group C,associate's degree,standard,none,58,54,52
S0012,2026-01-28 08:00:11,male,group D,associate's degree,standard,none,40,52,43
S0013,2026-01-28 08:00:12,female,group B,high school,standard,none,65,81,73
S0014,2026-01-28 08:00:13,male,group A,some college,standard,completed,78,72,70
S0015,2026-01-28 08:00:14,female,group A,master's degree,standard,none,50,53,58
S0016,2026-01-28 08:00:15,female,group C,some high school,standard,none,69,75,78
S0017,2026-01-28 08:00:16,male,group C,high school,standard,none,88,89,86
S0018,2026-01-28 08:00:17,female,group B,some high school,free/reduced,none,18,32,28
S0019,2026-01-28 08:00:18,male,group C,master's degree,free/reduced,completed,46,42,46
S0020,2026-01-28 08:00:19,female,group C,associate's degree,free/reduced,none,54,58,61
S0021,2026-01-28 08:00:20,male,group D,high school,standard,none,66,69,63
S0022,2026-01-28 08:00:21,female,group B,some college,free/reduced,completed,65,75,70
S0023,2026-01-28 08:00:22,male,group D,some college,standard,none,44,54,53
S0024,2026-01-28 08:00:23,female,group C,some high school,standard,none,69,73,73
S0025,2026-01-28 08:00:24,male,group D,bachelor's degree,free/reduced,completed,74,71,80
S0026,2026-01-28 08:00:25,male,group A,master's degree,free/reduced,none,73,74,72
S0027,2026-01-28 08:00:26,male,group B,some college,standard,none,69,54,55
S0028,2026-01-28 08:00:27,female,group C,bachelor's degree,standard,none,67,69,75
S0029,2026-01-28 08:00:28,male,group C,high school,standard,none,70,70,65
S0030,2026-01-28 08:00:29,female,group D,master's degree,standard,none,62,70,75
S0031,2026-01-28 08:00:30,female,group D,some college,standard,none,69,74,74
S0032,2026-01-28 08:00:31,female,group B,some college,standard,none,63,65,61
S0033,2026-01-28 08:00:32,female,group E,master's degree,free/reduced,none,56,72,65
S0034,2026-01-28 08:00:33,male,group D,some college,standard,none,40,42,38
S0035,2026-01-28 08:00:34,male,group E,some college,standard,none,97,87,82
S0036,2026-01-28 08:00:35,male,group E,associate's degree,standard,completed,81,81,79
S0037,2026-01-28 08:00:36,female,group D,associate's degree,standard,none,74,81,83
S0038,2026-01-28 08:00:37,female,group D,some high school,free/reduced,none,50,64,59
S0039,2026-01-28 08:00:38,female,group D,associate's degree,free/reduced,completed,75,90,88
S0040,2026-01-28 08:00:39,male,group B,associate's degree,free/reduced,none,57,56,57
S0041,2026-01-28 08:00:40,male,group C,associate's degree,free/reduced,none,55,61,54
S0042,2026-01-28 08:00:41,female,group C,associate's degree,standard,none,58,73,68
S0043,2026-01-28 08:00:42,female,group B,associate's degree,standard,none,53,58,65
S0044,2026-01-28 08:00:43,male,group B,some college,free/reduced,completed,59,65,66
S0045,2026-01-28 08:00:44,female,group E,associate's degree,free/reduced,none,50,56,54
S0046,2026-01-28 08:00:45,male,group B,associate's degree,standard,none,65,54,57
S0047,2026-01-28 08:00:46,female,group A,associate's degree,standard,completed,55,65,62
S0048,2026-01-28 08:00:47,female,group C,high school,standard,none,66,71,76
S0049,2026-01-28 08:00:48,female,group D,associate's degree,free/reduced,completed,57,74,76
S0050,2026-01-28 08:00:49,male,group C,high school,standard,completed,82,84,82
S0051,2026-01-28 08:00:50,male,group E,some college,standard,none,53,55,48
S0052,2026-01-28 08:00:51,male,group E,associate's degree,free/reduced,completed,77,69,68
S0053,2026-01-28 08:00:52,male,group C,some college,standard,none,53,44,42
S0054,2026-01-28 08:00:53,male,group D,high school,standard,none,88,78,75
S0055,2026-01-28 08:00:54,female,group C,some high school,free/reduced,completed,71,84,87
S0056,2026-01-28 08:00:55,female,group C,high school,free/reduced,none,33,41,43
S0057,2026-01-28 08:00:56,female,group E,associate's degree,standard,completed,82,85,86
S0058,2026-01-28 08:00:57,male,group D,associate's degree,standard,none,52,55,49
S0059,2026-01-28 08:00:58,male,group D,some college,standard,completed,58,59,58
S0060,2026-01-28 08:00:59,female,group C,some high school,free/reduced,none,0,17,10
S0061,2026-01-28 08:01:00,male,group E,bachelor's degree,free/reduced,completed,79,74,72
S0062,2026-01-28 08:01:01,male,group A,some high school,free/reduced,none,39,39,34
S0063,2026-01-28 08:01:02,male,group A,associate's degree,free/reduced,none,62,61,55
S0064,2026-01-28 08:01:03,female,group C,associate's degree,standard,none,69,80,71
S0065,2026-01-28 08:01:04,female,group D,some high school,standard,none,59,58,59
S0066,2026-01-28 08:01:05,male,group B,some high school,standard,none,67,64,61
S0067,2026-01-28 08:01:06,male,group D,some high school,free/reduced,none,45,37,37
S0068,2026-01-28 08:01:07,female,group C,some college,standard,none,60,72,74
S0069,2026-01-28 08:01:08,male,group B,associate's degree,free/reduced,none,61,58,56
S0070,2026-01-28 08:01:09,female,group C,associate's degree,standard,none,39,64,57
S0071,2026-01-28 08:01:10,female,group D,some college,free/reduced,completed,58,63,73
S0072,2026-01-28 08:01:11,male,group D,some college,standard,completed,63,55,63
S0073,2026-01-28 08:01:12,female,group A,associate's degree,free/reduced,none,41,51,48
S0074,2026-01-28 08:01:13,male,group C,some high school,free/reduced,none,61,57,56
S0075,2026-01-28 08:01:14,male,group C,some high school,standard,none,49,49,41
S0076,2026-01-28 08:01:15,male,group B,associate's degree,free/reduced,none,44,41,38
S0077,2026-01-28 08:01:16,male,group E,some high school,standard,none,30,26,22
S0078,2026-01-28 08:01:17,male,group A,bachelor's degree,standard,completed,80,78,81
S0079,2026-01-28 08:01:18,female,group D,some high school,standard,completed,61,74,72
S0080,2026-01-28 08:01:19,female,group E,master's degree,standard,none,62,68,68
S0081,2026-01-28 08:01:20,female,group B,associate's degree,standard,none,47,49,50
S0082,2026-01-28 08:01:21,male,group B,high school,free/reduced,none,49,45,45
S0083,2026-01-28 08:01:22,male,group A,some college,free/reduced,completed,50,47,54
S0084,2026-01-28 08:01:23,male,group E,associate's degree,standard,none,72,64,63
S0085,2026-01-28 08:01:24,male,group D,high school,free/reduced,none,42,39,34
S0086,2026-01-28 08:01:25,female,group C,some college,standard,none,73,80,82
S0087,2026-01-28 08:01:26,female,group C,some college,free/reduced,none,76,83,88
S0088,2026-01-28 08:01:27,female,group D,associate's degree,standard,none,71,71,74
S0089,2026-01-28 08:01:28,female,group A,some college,standard,none,58,70,67
S0090,2026-01-28 08:01:29,female,group D,some high school,standard,none,73,86,82
S0091,2026-01-28 08:01:30,female,group C,bachelor's degree,standard,none,65,72,74
S0092,2026-01-28 08:01:31,male,group C,high school,free/reduced,none,27,34,36
S0093,2026-01-28 08:01:32,male,group C,high school,standard,none,71,79,71
S0094,2026-01-28 08:01:33,male,group C,associate's degree,free/reduced,completed,43,45,50
S0095,2026-01-28 08:01:34,female,group B,some college,standard,none,79,86,92
S0096,2026-01-28 08:01:35,male,group C,associate's degree,free/reduced,completed,78,81,82
S0097,2026-01-28 08:01:36,male,group B,some high school,standard,completed,65,66,62
S0098,2026-01-28 08:01:37,female,group E,some college,standard,completed,63,72,70
S0099,2026-01-28 08:01:38,female,group D,some college,free/reduced,none,58,67,62
S0100,2026-01-28 08:01:39,female,group D,bachelor's degree,standard,none,65,67,62
S0101,2026-01-28 08:01:40,male,group B,some college,standard,none,79,67,67
S0102,2026-01-28 08:01:41,male,group D,bachelor's degree,standard,completed,68,74,74
S0103,2026-01-28 08:01:42,female,group D,associate's degree,standard,none,85,91,89
S0104,2026-01-28 08:01:43,male,group B,high school,standard,completed,60,44,47
S0105,2026-01-28 08:01:44,male,group C,some college,standard,completed,98,86,90
S0106,2026-01-28 08:01:45,female,group C,some college,standard,none,58,67,72
S0107,2026-01-28 08:01:46,female,group D,master's degree,standard,none,87,100,100
S0108,2026-01-28 08:01:47,male,group E,associate's degree,standard,completed,66,63,64
S0109,2026-01-28 08:01:48,female,group B,associate's degree,free/reduced,none,52,76,70
S0110,2026-01-28 08:01:49,female,group B,some high school,standard,none,70,64,72
S0111,2026-01-28 08:01:50,female,group D,associate's degree,free/reduced,completed,77,89,98
S0112,2026-01-28 08:01:51,male,group C,high school,standard,none,62,55,49
S0113,2026-01-28 08:01:52,male,group A,associate's degree,standard,none,54,53,47
S0114,2026-01-28 08:01:53,female,group D,some college,standard,none,51,58,54
S0115,2026-01-28 08:01:54,female,group E,bachelor's degree,standard,completed,99,100,100
S0116,2026-01-28 08:01:55,male,group C,high school,standard,none,84,77,74
S0117,2026-01-28 08:01:56,female,group B,bachelor's degree,free/reduced,none,75,85,82
S0118,2026-01-28 08:01:57,female,group D,bachelor's degree,standard,none,78,82,79
S0119,2026-01-28 08:01:58,female,group D,some high school,standard,none,51,63,61
S0120,2026-01-28 08:01:59,female,group C,some college,standard,none,55,69,65
S0121,2026-01-28 08:02:00,female,group C,bachelor's degree,standard,completed,79,92,89
S0122,2026-01-28 08:02:01,male,group B,associate's degree,standard,completed,91,89,92
S0123,2026-01-28 08:02:02,female,group C,some college,standard,completed,88,93,93
S0124,2026-01-28 08:02:03,male,group D,high school,free/reduced,none,63,57,56
S0125,2026-01-28 08:02:04,male,group E,some college,standard,none,83,80,73
S0126,2026-01-28 08:02:05,female,group B,high school,standard,none,87,95,86
S0127,2026-01-28 08:02:06,male,group B,some high school,standard,none,72,68,67
S0128,2026-01-28 08:02:07,male,group D,some college,standard,completed,65,77,74
S0129,2026-01-28 08:02:08,male,group D,master's degree,standard,none,82,82,74
S0130,2026-01-28 08:02:09,female,group A,bachelor's degree,standard,none,51,49,51
S0131,2026-01-28 08:02:10,male,group D,master's degree,standard,none,89,84,82
S0132,2026-01-28 08:02:11,male,group C,some high school,free/reduced,completed,53,37,40
S0133,2026-01-28 08:02:12,male,group E,some college,free/reduced,completed,87,74,70
S0134,2026-01-28 08:02:13,female,group C,some college,standard,completed,75,81,84
S0135,2026-01-28 08:02:14,male,group D,bachelor's degree,free/reduced,completed,74,79,75
S0136,2026-01-28 08:02:15,male,group C,bachelor's degree,standard,none,58,55,48
S0137,2026-01-28 08:02:16,male,group B,some high school,standard,completed,51,54,41
S0138,2026-01-28 08:02:17,male,group E,high school,standard,none,70,55,56
S0139,2026-01-28 08:02:18,female,group C,associate's degree,standard,none,59,66,67
S0140,2026-01-28 08:02:19,male,group D,some college,standard,completed,71,61,69
S0141,2026-01-28 08:02:20,female,group D,some high school,standard,none,76,72,71
S0142,2026-01-28 08:02:21,female,group C,some college,free/reduced,none,59,62,64
S0143,2026-01-28 08:02:22,female,group E,some college,free/reduced,completed,42,55,54
S0144,2026-01-28 08:02:23,male,group A,high school,standard,none,57,43,47
S0145,2026-01-28 08:02:24,male,group D,some college,standard,none,88,73,78
S0146,2026-01-28 08:02:25,female,group C,some college,free/reduced,none,22,39,33
S0147,2026-01-28 08:02:26,male,group B,some high school,standard,none,88,84,75
S0148,2026-01-28 08:02:27,male,group C,associate's degree,free/reduced,none,73,68,66
S0149,2026-01-28 08:02:28,female,group D,bachelor's degree,standard,completed,68,75,81
S0150,2026-01-28 08:02:29,male,group E,associate's degree,free/reduced,completed,100,100,93
S0151,2026-01-28 08:02:30,male,group A,some high school,standard,completed,62,67,69
S0152,2026-01-28 08:02:31,male,group A,bachelor's degree,standard,none,77,67,68
S0153,2026-01-28 08:02:32,female,group B,associate's degree,standard,completed,59,70,66
S0154,2026-01-28 08:02:33,male,group D,bachelor's degree,standard,none,54,49,47
S0155,2026-01-28 08:02:34,male,group D,some high school,standard,none,62,67,61
